Historical Prices - TA-90
From 03/06/2012 To 03/06/2017, Frequency: Daily

Date,Index Base Price,Index Opening Price,Closing Index Value,High,Low,Overall Market Cap(NIS thousands) * 
02/11/2015,825.53,824.59,823.92,825.61,820.94,135324772
01/11/2015,824.20,828.25,825.53,828.47,821.24,135783461
29/10/2015,827.20,825.86,824.20,829.30,820.48,135375728
28/10/2015,826.96,831.31,827.20,832.70,824.50,135948504
27/10/2015,827.62,827.15,826.96,829.46,825.37,135876662
26/10/2015,826.34,833.35,827.62,833.35,824.49,135776280
25/10/2015,831.86,837.78,826.34,844.82,824.08,135698173
22/10/2015,841.96,834.48,831.86,838.64,831.55,136669854
21/10/2015,831.34,836.22,841.96,841.96,830.82,138206257
20/10/2015,822.94,824.17,831.34,831.34,823.92,136423663
19/10/2015,827.07,829.99,822.94,830.05,819.49,135263617
18/10/2015,818.53,820.86,827.07,828.65,820.46,136068421
15/10/2015,811.10,818.57,818.53,825.84,815.14,134527773
14/10/2015,810.86,802.40,811.10,812.41,802.07,132497875
13/10/2015,821.98,817.60,810.86,821.04,810.11,132127210
12/10/2015,817.72,819.02,821.98,823.44,819.02,134506958
11/10/2015,818.71,820.55,817.72,820.55,815.13,133948912
08/10/2015,826.12,826.62,818.71,827.12,818.71,134149099
07/10/2015,814.38,813.34,826.12,826.15,811.80,135465201
06/10/2015,797.24,803.48,814.38,817.54,802.20,133469896
01/10/2015,795.43,798.99,797.24,802.89,795.80,130154191
30/09/2015,803.44,804.69,795.43,810.22,794.65,127654008
29/09/2015,814.08,799.32,803.44,804.92,791.73,129004392
24/09/2015,839.43,835.71,814.08,835.71,814.08,130509511
21/09/2015,834.43,834.14,839.43,840.46,831.58,133937209
20/09/2015,841.67,837.75,834.43,839.52,833.23,133441044
17/09/2015,846.32,846.76,841.67,847.13,838.67,134648508
16/09/2015,859.43,854.14,846.32,857.38,845.91,135653326
10/09/2015,855.82,857.77,859.43,859.43,852.17,137449679
09/09/2015,851.52,857.13,855.82,861.99,854.39,140626689
08/09/2015,835.04,842.27,851.52,854.38,841.34,140024559
07/09/2015,835.52,837.22,835.04,840.04,832.93,137366148
06/09/2015,841.19,838.84,835.52,838.84,833.68,137621825
03/09/2015,846.50,849.17,841.19,850.55,841.19,138467424
02/09/2015,839.13,843.67,846.50,850.86,840.50,139361952
01/09/2015,850.31,846.54,839.13,846.86,831.80,138327993
31/08/2015,861.36,851.54,850.31,857.91,841.29,139957241
30/08/2015,850.82,857.00,861.36,866.68,856.43,141479836
27/08/2015,842.73,848.60,850.82,859.17,848.33,139832633
26/08/2015,838.76,832.85,842.73,849.19,825.75,138594145
25/08/2015,803.62,805.31,838.76,847.05,805.31,138137636
24/08/2015,848.48,821.22,803.62,828.97,802.03,132647611
23/08/2015,886.31,858.73,848.48,858.73,838.93,139835142
20/08/2015,907.19,907.18,886.31,907.18,886.31,145935725
19/08/2015,915.72,917.93,907.19,918.17,906.73,149267005
18/08/2015,910.25,915.47,915.72,917.31,913.04,150696145
17/08/2015,906.05,910.83,910.25,911.99,906.76,149863356
16/08/2015,894.59,892.00,906.05,906.05,891.92,149235489
13/08/2015,886.60,889.35,894.59,897.04,889.35,147444414
12/08/2015,888.94,880.20,886.60,886.60,878.99,146351803
11/08/2015,884.18,887.94,888.94,891.57,886.36,146791386
10/08/2015,868.20,875.83,884.18,885.57,872.72,145871835
09/08/2015,872.01,870.33,868.20,871.23,868.20,143252432
06/08/2015,872.94,873.26,872.01,875.75,870.87,143709038
05/08/2015,866.22,870.85,872.94,874.64,870.00,143977095
04/08/2015,870.46,871.31,866.22,871.31,865.64,143153389
03/08/2015,867.08,867.74,870.46,871.97,867.19,143719910
02/08/2015,865.28,865.32,867.08,867.61,864.84,143119629
30/07/2015,866.54,870.79,865.28,872.86,864.54,142745052
29/07/2015,865.75,866.96,866.54,871.59,866.43,143025788
28/07/2015,862.13,861.26,865.75,868.62,861.24,142927099
27/07/2015,863.94,860.43,862.13,864.25,860.14,142207075
23/07/2015,863.59,863.87,863.94,866.40,857.51,142448903
22/07/2015,874.64,872.76,863.59,872.76,863.57,142602908
21/07/2015,880.40,884.63,874.64,884.63,873.88,144271538
20/07/2015,870.65,870.87,880.40,882.61,868.47,145233334
19/07/2015,862.45,867.80,870.65,870.65,863.86,143489927
16/07/2015,848.94,850.07,862.45,862.45,849.93,143095341
15/07/2015,846.90,849.21,848.94,851.37,844.88,140959672
14/07/2015,847.66,844.46,846.90,848.84,844.06,140693705
13/07/2015,839.49,842.69,847.66,851.72,842.47,140921780
12/07/2015,834.84,835.59,839.49,840.01,835.58,139688944
09/07/2015,829.20,825.94,834.84,838.64,825.94,138714043
08/07/2015,837.76,834.85,829.20,836.75,829.18,137793876
07/07/2015,835.22,835.43,837.76,840.98,834.92,139045581
06/07/2015,841.03,838.84,835.22,841.05,833.16,138376336
05/07/2015,840.25,842.80,841.03,844.40,839.97,139163010
02/07/2015,846.30,850.88,840.25,851.11,837.93,139141031
01/07/2015,834.68,834.92,846.30,848.91,834.91,139848123
30/06/2015,831.16,824.38,834.68,837.87,824.30,137893892
