,date,value
966,2013-06-20,1268.10072029
965,2013-06-23,1263.74963251
964,2013-06-24,1242.78476635
963,2013-06-25,1242.01359959
962,2013-06-26,1241.95945866
961,2013-06-27,1237.20178931
960,2013-06-30,1240.7313116
959,2013-07-01,1246.44471763
958,2013-07-02,1248.29231171
957,2013-07-03,1238.71150526
956,2013-07-04,1243.37065731
955,2013-07-07,1249.79766515
954,2013-07-08,1253.49324552
953,2013-07-09,1252.17942138
952,2013-07-10,1255.10047553
951,2013-07-11,1262.915255
950,2013-07-14,1272.5271828
949,2013-07-15,1275.3973495
948,2013-07-17,1282.47371247
947,2013-07-18,1283.13217141
946,2013-07-21,1281.99131639
945,2013-07-22,1284.43727288
944,2013-07-23,1282.19151927
943,2013-07-24,1287.050913
942,2013-07-25,1278.42534457
941,2013-07-28,1274.06904108
940,2013-07-29,1277.05197168
939,2013-07-30,1254.48785264
938,2013-07-31,1258.91079652
937,2013-08-01,1265.86181601
936,2013-08-04,1265.22583133
935,2013-08-05,1260.37426338
934,2013-08-06,1259.55749893
933,2013-08-07,1259.36541522
932,2013-08-08,1262.19839216
931,2013-08-11,1263.25266559
930,2013-08-12,1265.02889174
929,2013-08-13,1273.35922091
928,2013-08-14,1270.74748795
927,2013-08-15,1262.64968128
926,2013-08-18,1267.21959714
925,2013-08-19,1269.32907753
924,2013-08-20,1269.82575656
923,2013-08-21,1264.9793783
922,2013-08-22,1262.48271643
921,2013-08-25,1258.3998833
920,2013-08-26,1240.19778261
919,2013-08-27,1207.36509689
918,2013-08-28,1217.88359448
917,2013-08-29,1230.62830821
916,2013-09-01,1243.8982608
915,2013-09-02,1249.16202791
914,2013-09-03,1238.59045931
913,2013-09-08,1219.19822335
912,2013-09-09,1234.73675705
911,2013-09-10,1255.49297069
910,2013-09-11,1258.28699045
909,2013-09-12,1260.27738497
908,2013-09-15,1290.88689187
907,2013-09-16,1295.42240505
906,2013-09-17,1305.09892636
905,2013-09-22,1314.171307
904,2013-09-23,1323.60165127
903,2013-09-24,1322.25267739
902,2013-09-29,1341.39698199
901,2013-09-30,1334.89714482
900,2013-10-01,1345.64624475
899,2013-10-02,1345.53568904
898,2013-10-03,1338.53289635
897,2013-10-06,1353.06359613
896,2013-10-07,1355.44106983
895,2013-10-08,1353.93041795
894,2013-10-09,1358.98163168
893,2013-10-10,1367.82649585
892,2013-10-13,1359.81215151
891,2013-10-14,1369.92125448
890,2013-10-15,1376.4203377
889,2013-10-16,1382.52989926
888,2013-10-17,1372.92107755
887,2013-10-20,1379.18222984
886,2013-10-21,1375.81945954
885,2013-10-22,1382.26628353
884,2013-10-23,1364.71627882
883,2013-10-24,1359.1314338
882,2013-10-27,1361.91584471
881,2013-10-28,1352.58950596
880,2013-10-29,1358.15994216
879,2013-10-30,1351.74320236
878,2013-10-31,1352.89899299
877,2013-11-03,1352.93578128
876,2013-11-04,1364.48752342
875,2013-11-05,1359.00587421
874,2013-11-06,1366.02381322
873,2013-11-07,1371.76633568
872,2013-11-10,1371.76336788
871,2013-11-11,1374.21018165
870,2013-11-12,1368.27421186
869,2013-11-13,1364.79061238
868,2013-11-14,1374.48284365
867,2013-11-17,1383.99236161
866,2013-11-18,1389.45265128
865,2013-11-19,1390.47628321
864,2013-11-20,1395.0324016
863,2013-11-21,1392.8233899
862,2013-11-24,1397.61789171
861,2013-11-25,1396.21281361
860,2013-11-26,1391.24122206
859,2013-11-27,1393.38523876
858,2013-11-28,1400.56515235
857,2013-12-01,1422.14105025
856,2013-12-02,1418.48050165
855,2013-12-03,1409.62327323
854,2013-12-04,1405.33438471
853,2013-12-05,1409.22716811
852,2013-12-08,1417.24708028
851,2013-12-09,1411.79165516
850,2013-12-10,1394.97714812
849,2013-12-11,1385.66453857
848,2013-12-12,1370.91306145
847,2013-12-15,1355.41067813
846,2013-12-16,1372.67424312
845,2013-12-17,1362.24130268
844,2013-12-18,1365.74530492
843,2013-12-19,1364.10012979
842,2013-12-22,1387.78005697
841,2013-12-23,1398.26815258
840,2013-12-24,1390.4826025
839,2013-12-25,1390.65480892
838,2013-12-26,1381.45416173
837,2013-12-29,1364.96712993
836,2013-12-30,1369.55342684
835,2013-12-31,1380.18446721
834,2014-01-01,1392.57178572
833,2014-01-02,1371.12527636
832,2014-01-05,1373.58703188
831,2014-01-06,1370.82695608
830,2014-01-07,1378.37751042
829,2014-01-08,1376.80443548
828,2014-01-09,1372.22034066
827,2014-01-12,1376.28752118
826,2014-01-13,1390.23189046
825,2014-01-14,1388.84232533
824,2014-01-15,1401.24617231
823,2014-01-16,1399.20869707
822,2014-01-19,1389.91300636
821,2014-01-20,1373.32308276
820,2014-01-21,1377.48585953
819,2014-01-22,1378.83966363
818,2014-01-23,1370.11184221
817,2014-01-26,1346.71595197
816,2014-01-27,1352.98270636
815,2014-01-28,1354.30370149
814,2014-01-29,1344.58534178
813,2014-01-30,1336.63074215
812,2014-02-02,1337.41359039
811,2014-02-03,1332.28209959
810,2014-02-04,1336.05819247
809,2014-02-05,1337.76568153
808,2014-02-06,1347.47055002
807,2014-02-09,1354.0408633
806,2014-02-10,1346.8183073
805,2014-02-11,1352.15440815
804,2014-02-12,1351.41163276
803,2014-02-13,1349.66782921
802,2014-02-16,1358.6748724
801,2014-02-17,1363.80044513
800,2014-02-18,1363.09704525
799,2014-02-19,1363.36040151
798,2014-02-20,1359.80955101
797,2014-02-23,1359.21284708
796,2014-02-24,1370.43277045
795,2014-02-25,1375.20851722
794,2014-02-26,1390.80684844
793,2014-02-27,1393.38140215
792,2014-03-02,1393.71863995
791,2014-03-03,1389.43526027
790,2014-03-04,1408.53955028
789,2014-03-05,1407.41826787
788,2014-03-06,1413.38857088
787,2014-03-09,1408.98622111
786,2014-03-10,1413.02398689
785,2014-03-11,1419.58544155
784,2014-03-12,1417.01760801
783,2014-03-13,1422.06381456
782,2014-03-17,1427.99110296
781,2014-03-18,1430.20607371
780,2014-03-19,1434.95251695
779,2014-03-20,1430.34708759
778,2014-03-23,1440.5248291
777,2014-03-24,1430.43197644
776,2014-03-25,1441.54042596
