,date,value
787,2014-03-09,
786,2014-03-10,
785,2014-03-11,
784,2014-03-12,
783,2014-03-13,
782,2014-03-17,
781,2014-03-18,
780,2014-03-19,
779,2014-03-20,
778,2014-03-23,
777,2014-03-24,
776,2014-03-25,
775,2014-03-26,
774,2014-03-27,
773,2014-03-30,
772,2014-03-31,
771,2014-04-01,
770,2014-04-02,
769,2014-04-03,
768,2014-04-06,
767,2014-04-07,
766,2014-04-08,
765,2014-04-09,
764,2014-04-10,
763,2014-04-13,
762,2014-04-16,
761,2014-04-17,
760,2014-04-22,
759,2014-04-23,
758,2014-04-24,
757,2014-04-27,
756,2014-04-28,
755,2014-04-29,
754,2014-04-30,
753,2014-05-01,
752,2014-05-04,
751,2014-05-07,
750,2014-05-08,
749,2014-05-11,
748,2014-05-12,
747,2014-05-13,
746,2014-05-14,
745,2014-05-15,
744,2014-05-18,
743,2014-05-19,
742,2014-05-20,
741,2014-05-21,
740,2014-05-22,
739,2014-05-25,
738,2014-05-26,
737,2014-05-27,
736,2014-05-28,
735,2014-05-29,
734,2014-06-01,
733,2014-06-02,
732,2014-06-05,
731,2014-06-08,
730,2014-06-09,
729,2014-06-10,
728,2014-06-11,
727,2014-06-12,
726,2014-06-15,
725,2014-06-16,
724,2014-06-17,
723,2014-06-18,
722,2014-06-19,
721,2014-06-22,
720,2014-06-23,
719,2014-06-24,
718,2014-06-25,
717,2014-06-26,
716,2014-06-29,
715,2014-06-30,
714,2014-07-01,
713,2014-07-02,
712,2014-07-03,
711,2014-07-06,
710,2014-07-07,
709,2014-07-08,
708,2014-07-09,
707,2014-07-10,
706,2014-07-13,
705,2014-07-14,
704,2014-07-15,
703,2014-07-16,
702,2014-07-17,
701,2014-07-20,
700,2014-07-21,
699,2014-07-22,
698,2014-07-23,
697,2014-07-24,
696,2014-07-27,
695,2014-07-28,
694,2014-07-29,
693,2014-07-30,
692,2014-07-31,
691,2014-08-03,
690,2014-08-04,
689,2014-08-06,
688,2014-08-07,
687,2014-08-10,
686,2014-08-11,
685,2014-08-12,
684,2014-08-13,
683,2014-08-14,
682,2014-08-17,
681,2014-08-18,
680,2014-08-19,
679,2014-08-20,
678,2014-08-21,
